date,count
2013-04-24,144
2013-04-25,89
2013-04-26,100
2013-04-27,94
2013-04-28,105
2013-04-29,107
2013-04-30,71
2013-05-01,56
2013-05-02,88
2013-05-03,102
2013-05-04,102
2013-05-05,85
2013-05-06,106
2013-05-07,100
2013-05-08,95
2013-05-09,95
2013-05-10,112
2013-05-11,99
2013-05-12,127
2013-05-13,131
2013-05-14,103
2013-05-15,95
2013-05-16,111
2013-05-17,135
2013-05-18,102
2013-05-19,119
2013-05-20,122
2013-05-21,126
2013-05-22,101
2013-05-23,95
2013-05-24,104
2013-05-25,92
2013-05-26,99
2013-05-27,134
2013-05-28,104
2013-05-29,89
2013-05-30,124
2013-05-31,98
2013-06-01,94
2013-06-02,100
2013-06-03,112
2013-06-04,136
2013-06-05,145
2013-06-06,152
2013-06-07,143
2013-06-08,144
2013-06-09,156
2013-06-10,161
2013-06-11,152
2013-06-12,154
2013-06-13,160
2013-06-14,154
2013-06-15,166
2013-06-16,166
2013-06-17,198
2013-06-18,220
2013-06-19,231
2013-06-20,232
2013-06-21,208
2013-06-22,202
2013-06-23,229
2013-06-24,258
2013-06-25,227
2013-06-26,250
2013-06-27,268
2013-06-28,218
2013-06-29,157
2013-06-30,176
2013-07-01,218
2013-07-02,190
2013-07-03,182
2013-07-04,164
2013-07-05,178
2013-07-06,148
2013-07-07,184
2013-07-08,187
2013-07-09,177
2013-07-10,198
2013-07-11,202
2013-07-12,207
2013-07-13,199
2013-07-14,184
2013-07-15,216
2013-07-16,193
2013-07-17,183
2013-07-18,175
2013-07-19,175
2013-07-20,159
2013-07-21,186
2013-07-22,201
2013-07-23,187
2013-07-24,198
2013-07-25,211
2013-07-26,190
2013-07-27,165
2013-07-28,204
2013-07-29,194
2013-07-30,199
2013-07-31,177
2013-08-01,188
2013-08-02,189
2013-08-03,164
2013-08-04,172
2013-08-05,166
2013-08-06,158
2013-08-07,169
2013-08-08,174
2013-08-09,172
2013-08-10,164
2013-08-11,198
2013-08-12,205
2013-08-13,193
2013-08-14,200
2013-08-15,177
2013-08-16,185
2013-08-17,189
2013-08-18,173
2013-08-19,188
2013-08-20,194
2013-08-21,148
2013-08-22,138
2013-08-23,131
2013-08-24,139
2013-08-25,150
2013-08-26,123
2013-08-27,134
2013-08-28,137
2013-08-29,162
2013-08-30,194
2013-08-31,166
2013-09-01,174
2013-09-02,169
2013-09-03,191
2013-09-04,173
2013-09-05,188
2013-09-06,175
2013-09-07,181
2013-09-08,158
2013-09-09,191
2013-09-10,177
2013-09-11,175
2013-09-12,167
2013-09-13,154
2013-09-14,148
2013-09-15,168
2013-09-16,177
2013-09-17,186
2013-09-18,172
2013-09-19,136
2013-09-20,122
2013-09-21,127
2013-09-22,129
2013-09-23,143
2013-09-24,134
2013-09-25,147
2013-09-26,148
2013-09-27,153
2013-09-28,148
2013-09-29,169
2013-09-30,169
2013-10-01,162
2013-10-02,159
2013-10-03,146
2013-10-04,164
2013-10-05,158
2013-10-06,164
2013-10-07,183
2013-10-08,180
2013-10-09,183
2013-10-10,203
2013-10-11,189
2013-10-12,169
2013-10-13,156
2013-10-14,154
2013-10-15,159
2013-10-16,192
2013-10-17,184
2013-10-18,214
2013-10-19,158
2013-10-20,131
2013-10-21,142
2013-10-22,165
2013-10-23,169
2013-10-24,158
2013-10-25,156
2013-10-26,144
2013-10-27,164
2013-10-28,171
2013-10-29,178
2013-10-30,176
2013-10-31,162
2013-11-01,145
2013-11-02,158
2013-11-03,194
2013-11-04,181
2013-11-05,164
2013-11-06,143
2013-11-07,149
2013-11-08,138
2013-11-09,130
2013-11-10,157
2013-11-11,161
2013-11-12,162
2013-11-13,139
2013-11-14,128
2013-11-15,116
2013-11-16,83
2013-11-17,104
2013-11-18,105
2013-11-19,133
2013-11-20,140
2013-11-21,121
2013-11-22,111
2013-11-23,129
2013-11-24,132
2013-11-25,134
2013-11-26,156
2013-11-27,152
2013-11-28,140
2013-11-29,143
2013-11-30,144
2013-12-01,152
2013-12-02,171
2013-12-03,144
2013-12-04,174
2013-12-05,174
2013-12-06,185
2013-12-07,190
2013-12-08,200
2013-12-09,207
2013-12-10,183
2013-12-11,188
2013-12-12,189
2013-12-13,188
2013-12-14,163
2013-12-15,168
2013-12-16,194
2013-12-17,166
2013-12-18,179
2013-12-19,149
2013-12-20,160
2013-12-21,153
2013-12-22,158
2013-12-23,159
2013-12-24,160
2013-12-25,154
2013-12-26,178
2013-12-27,203
2013-12-28,187
2013-12-29,184
2013-12-30,192
2013-12-31,191
2014-01-01,210
2014-01-02,214
2014-01-03,197
2014-01-04,195
2014-01-05,195
2014-01-06,208
2014-01-07,230
2014-01-08,269
2014-01-09,275
2014-01-10,293
2014-01-11,230
2014-01-12,207
2014-01-13,272
2014-01-14,254
2014-01-15,268
2014-01-16,278
2014-01-17,243
2014-01-18,228
2014-01-19,249
2014-01-20,268
2014-01-21,255
2014-01-22,236
2014-01-23,247
2014-01-24,221
2014-01-25,226
2014-01-26,219
2014-01-27,265
2014-01-28,216
2014-01-29,260
2014-01-30,240
2014-01-31,221
2014-02-01,193
2014-02-02,220
2014-02-03,351
2014-02-04,331
2014-02-05,302
2014-02-06,311
2014-02-07,339
2014-02-08,292
2014-02-09,303
2014-02-10,320
2014-02-11,287
2014-02-12,278
2014-02-13,247
2014-02-14,239
2014-02-15,224
2014-02-16,205
2014-02-17,248
2014-02-18,255
2014-02-19,235
2014-02-20,237
2014-02-21,224
2014-02-22,249
2014-02-23,220
2014-02-24,228
2014-02-25,549
2014-02-26,393
2014-02-27,283
2014-02-28,258
2014-03-01,238
2014-03-02,248
2014-03-03,235
2014-03-04,223
2014-03-05,230
2014-03-06,200
2014-03-07,201
2014-03-08,174
2014-03-09,174
2014-03-10,202
2014-03-11,179
2014-03-12,217
2014-03-13,183
2014-03-14,229
2014-03-15,216
2014-03-16,192
2014-03-17,227
2014-03-18,204
2014-03-19,215
2014-03-20,207
2014-03-21,191
2014-03-22,176
2014-03-23,178
2014-03-24,158
2014-03-25,171
2014-03-26,148
2014-03-27,144
2014-03-28,146
2014-03-29,136
2014-03-30,142
2014-03-31,151
2014-04-01,133
2014-04-02,137
2014-04-03,135
2014-04-04,169
2014-04-05,161
2014-04-06,153
2014-04-07,177
2014-04-08,170
2014-04-09,190
2014-04-10,176
2014-04-11,176
2014-04-12,164
2014-04-13,173
2014-04-14,217
2014-04-15,202
2014-04-16,189
2014-04-17,185
2014-04-18,180
2014-04-19,164
2014-04-20,156
2014-04-21,168
2014-04-22,178
2014-04-23,156
2014-04-24,163
2014-04-25,158
2014-04-26,141
2014-04-27,144
2014-04-28,156
2014-04-29,163
2014-04-30,141
2014-05-01,129
2014-05-02,107
2014-05-03,113
2014-05-04,107
2014-05-05,114
2014-05-06,120
2014-05-07,127
2014-05-08,116
2014-05-09,120
2014-05-10,105
2014-05-11,129
2014-05-12,145
2014-05-13,144
2014-05-14,119
2014-05-15,118
2014-05-16,140
2014-05-17,116
2014-05-18,103
2014-05-19,110
2014-05-20,136
2014-05-21,109
2014-05-22,111
2014-05-23,110
2014-05-24,139
2014-05-25,113
2014-05-26,100
2014-05-27,130
2014-05-28,126
2014-05-29,130
2014-05-30,158
2014-05-31,133
2014-06-01,138
2014-06-02,140
2014-06-03,148
2014-06-04,129
2014-06-05,138
2014-06-06,125
2014-06-07,92
2014-06-08,107
2014-06-09,136
2014-06-10,151
2014-06-11,130
2014-06-12,142
2014-06-13,131
2014-06-14,110
2014-06-15,119
2014-06-16,131
2014-06-17,159
2014-06-18,128
2014-06-19,124
2014-06-20,130
2014-06-21,120
2014-06-22,147
2014-06-23,172
2014-06-24,183
2014-06-25,203
2014-06-26,179
2014-06-27,215
2014-06-28,210
2014-06-29,200
2014-06-30,211
2014-07-01,242
2014-07-02,238
2014-07-03,256
2014-07-04,229
2014-07-05,204
2014-07-06,204
2014-07-07,244
2014-07-08,270
2014-07-09,261
2014-07-10,279
2014-07-11,283
2014-07-12,236
2014-07-13,252
2014-07-14,309
2014-07-15,286
2014-07-16,234
2014-07-17,275
2014-07-18,297
2014-07-19,282
2014-07-20,277
2014-07-21,274
2014-07-22,289
2014-07-23,265
2014-07-24,286
2014-07-25,281
2014-07-26,253
2014-07-27,280
2014-07-28,283
2014-07-29,357
2014-07-30,320
2014-07-31,303
2014-08-01,297
2014-08-02,302
2014-08-03,298
2014-08-04,316
2014-08-05,319
2014-08-06,317
2014-08-07,328
2014-08-08,322
2014-08-09,320
2014-08-10,321
2014-08-11,336
2014-08-12,309
2014-08-13,318
2014-08-14,300
2014-08-15,275
2014-08-16,256
2014-08-17,286
2014-08-18,315
2014-08-19,278
2014-08-20,278
2014-08-21,253
2014-08-22,246
2014-08-23,255
2014-08-24,209
2014-08-25,231
2014-08-26,231
2014-08-27,249
2014-08-28,246
2014-08-29,240
2014-08-30,225
2014-08-31,234
2014-09-01,252
2014-09-02,230
2014-09-03,219
2014-09-04,234
2014-09-05,222
2014-09-06,210
2014-09-07,220
2014-09-08,223
2014-09-09,261
2014-09-10,248
2014-09-11,226
2014-09-12,231
2014-09-13,209
2014-09-14,206
2014-09-15,231
2014-09-16,210
2014-09-17,239
2014-09-18,236
2014-09-19,248
