ChangeId,FilesChanged,TotalLinesInserted,TotalLinesDeleted,LastRevisionId,HasExtension,OnlySource,OnlyDocumentation,ContainsSource
311,1,1179,0,311,1,0,0,0
312,1,1179,0,312,1,0,0,0
313,3,30,112,313,1,1,0,1
314,3,30,112,314,1,1,0,1
315,3,31,105,315,1,1,0,1
316,3,31,104,316,1,1,0,1
317,1,12,7,317,1,1,0,1
318,1,12,7,318,1,1,0,1
319,1,68,0,319,1,1,0,1
320,1,68,0,320,1,1,0,1
321,19,20,20,321,1,1,0,1
322,19,20,20,322,1,1,0,1
323,2,3,3,323,1,1,0,1
324,4,32,14,324,1,1,0,1
325,4,32,14,325,1,1,0,1
326,1,3,0,326,1,1,0,1
327,1,3,0,327,1,1,0,1
328,1,3,0,328,1,1,0,1
329,49,128,205,329,1,1,0,1
330,48,127,204,330,1,1,0,1
331,45,123,200,331,1,1,0,1
332,49,128,205,332,1,1,0,1
333,1,4,4,333,0,0,0,0
334,1,3,4,334,0,0,0,0
335,1,3,4,335,0,0,0,0
336,1,3,4,336,0,0,0,0
337,1,3,4,337,0,0,0,0
338,1,3,4,338,0,0,0,0
339,8,6,22,339,1,1,0,1
340,8,6,22,340,1,1,0,1
341,9,108,7,341,1,1,0,1
342,9,108,7,342,1,1,0,1
343,9,109,7,343,1,1,0,1
344,9,108,7,344,1,1,0,1
345,2,33,6,345,1,1,0,1
346,3,45,5,346,1,1,0,1
347,3,45,5,347,1,1,0,1
348,3,45,5,348,1,1,0,1
349,3,45,5,349,1,1,0,1
350,2,8,4,350,1,1,0,1
351,2,8,4,351,1,1,0,1
352,2,8,4,352,1,1,0,1
353,2,2,2,353,1,1,0,1
354,3,20,1,354,1,1,1,1
355,3,20,1,355,1,1,1,1
356,1,3,4,356,1,1,0,1
357,1,3,4,357,1,1,0,1
358,1,2,2,358,1,1,0,1
359,2,26,2,359,1,1,0,1
360,2,26,2,360,1,1,0,1
361,2,29,2,361,1,1,0,1
362,2,29,2,362,1,1,0,1
363,2,26,2,363,1,1,0,1
364,11,25,26,364,1,1,0,1
365,11,25,26,365,1,1,0,1
366,4,26,5,366,1,1,0,1
367,4,26,5,367,1,1,0,1
368,9,17,17,368,1,1,0,1
369,9,17,17,369,1,1,0,1
370,10,18,18,370,1,1,0,1
371,9,17,17,371,1,1,0,1
372,4,28,7,372,1,1,0,1
373,4,28,7,373,1,1,0,1
374,4,28,7,374,1,1,0,1
375,12,348,8,375,1,1,0,1
376,12,348,8,376,1,1,0,1
377,12,348,8,377,1,1,0,1
378,12,348,8,378,1,1,0,1
379,12,348,8,379,1,1,0,1
380,12,348,8,380,1,1,0,1
381,13,372,276,381,1,1,0,1
382,13,372,276,382,1,1,0,1
383,1,4,3,383,1,1,0,1
384,1,4,3,384,1,1,0,1
385,1,12,12,385,1,1,0,1
386,1,12,12,386,1,1,0,1
387,1,2,2,387,1,0,0,0
388,1,2,2,388,1,0,0,0
389,4,14,16,389,1,1,0,1
390,4,14,16,390,1,1,0,1
391,1,1,0,391,1,1,0,1
392,1,1,0,392,1,1,0,1
393,1,2,0,393,1,1,0,1
394,1,2,0,394,1,1,0,1
395,3,1,16,395,1,1,0,1
396,3,1,16,396,1,1,0,1
397,1,27,12,397,1,1,0,1
398,1,27,12,398,1,1,0,1
399,1,27,12,399,1,1,0,1
400,3,12,5,400,1,1,0,1
401,3,12,4,401,1,1,0,1
402,3,12,4,402,1,1,0,1
403,3,12,4,403,1,1,0,1
404,3,12,4,404,1,1,0,1
405,1,2,0,405,1,1,0,1
406,1,2,0,406,1,1,0,1
407,1,2,0,407,1,1,0,1
408,1,107,107,408,1,1,0,1
409,1,107,107,409,1,1,0,1
410,1,1,1,410,1,1,0,1
411,1,1,1,411,1,1,0,1
412,1,3,0,412,1,1,0,1
